,Rice,Sugarcane,Cotton,Area
444,16009.764420952417,21539.675926666834,548948.916,10444
445,15995.918420952417,21481.595926666832,548948.916,10445
446,15559.099900952393,20072.50392666672,569770.416,10446
447,15155.805827619046,18068.832020000005,569770.416,10447
448,13698.096429523806,13808.629239999998,569770.416,10448
449,13591.385509523809,13355.336860000001,569770.416,10449
450,13570.658476190474,13220.194026666666,553601.648,10450
451,14085.986742857142,12648.642026666665,553666.248,10451
452,14085.986742857142,12648.642026666665,555202.58,10452
453,14085.986742857142,12648.642026666665,555202.58,10453
454,14382.096742857142,12662.086566666665,555202.58,10454
455,14699.253409523812,13503.404066666668,555202.58,10455
456,16999.357342857144,19958.1002,555202.58,10456
457,17113.2142,20714.4942,621411.08,10457
458,17113.4922,20715.648866666663,621411.08,10458
459,17136.13846190476,20752.34296190476,621411.08,10459
460,17187.270461904758,20752.34296190476,623394.356,10460
461,17187.270461904758,20752.34296190476,623394.356,10461
462,17082.02006190476,20777.552561904766,817766.044,10462
463,16496.62079047619,18896.378990476187,817766.044,10463
464,15962.382785714288,14439.322552380952,817766.044,10464
465,15962.382785714288,14439.322552380952,817766.044,10465
466,15962.382785714288,14439.322552380952,817766.044,10466
467,16738.00278571429,14439.322552380952,817766.044,10467
468,16888.494785714287,14771.376952380953,817766.044,10468
469,17021.946785714288,15173.260952380953,817766.044,10469
470,21034.56939047619,26218.24039047619,817766.044,10470
471,21034.56939047619,26218.24039047619,817766.044,10471
472,20882.52496190476,25536.56226190476,817766.044,10472
473,20898.76496190476,25536.56226190476,827250.244,10473
474,20869.643761904765,25560.43026190476,827747.568,10474
475,20884.37042857143,25602.38092857143,827747.568,10475
476,17611.46442857143,16435.22092857143,827747.568,10476
477,18095.486666666668,17624.696166666665,827747.568,10477
478,18146.380666666668,17737.726666666666,863977.048,10478
479,18146.380666666668,17737.726666666666,863977.048,10479
480,18146.380666666668,17737.726666666666,863977.048,10480
481,17761.42066666667,16781.606666666663,863977.048,10481
482,17597.78066666667,15482.616666666667,863977.048,10482
483,20108.912666666667,23069.92066666667,864367.298,10483
484,20298.81266666667,23947.480666666666,864367.298,10484
485,20264.588666666667,23908.534666666666,769283.494,10485
486,20293.36466666667,23932.588666666667,769283.494,10486
487,20293.36466666667,23957.229166666668,769283.494,10487
488,18698.324666666667,18502.699633333334,769283.494,10488
489,18489.428666666667,17993.515633333333,769283.494,10489
490,19361.09866666667,22030.49163333333,769439.012,10490
491,19189.962666666666,21813.428633333333,769439.012,10491
492,19078.644666666667,21225.35063333333,769439.012,10492
493,18315.784666666666,20071.239633333334,769439.012,10493
494,18083.279,16981.71687619048,769439.012,10494
495,17890.1445,14925.990780952387,769439.012,10495
496,17835.6225,14432.138114285719,771201.85,10496
497,17770.93116666667,14332.046780952385,771201.85,10497
498,19292.358200000002,13112.01641428572,771201.85,10498
499,19327.546200000004,13189.440747619052,771201.85,10499
