Type,Crop,Season,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Major,Sugarcane,Rabi,233.86,237.09,281.17,355.52,348.19,285.03,292.3,342.38,357.67,338.96,NA
Major,Cotton,Kharif,13.73,16.43,18.5,22.63,25.88,22.28,24.02,33,35.2,34,NA
Major,Jute,Rabi,11.17,10.27,10.84,11.27,11.21,10.37,11.82,10.62,11.57,11.3,NA
Foodgrains,Maize,,NA,120.08,121.6,123.71,124.07,122.85,121.34,126.67,124.75,120.8,126.2
Foodgrains,Ragi,,213.19,198.36,208.6,217.28,230.78,234.47,218.11,244.5,259.29,255.36,NA
Foodgrains,Millets,,NA,1652,1715,1756,1860,1909,1798,1930,2078,2128,2095
Foodgrains,Barley,Kharif,NA,72.26,72.72,72.67,73.58,71.45,69.51,72.42,72.08,67.7,69.4
Foodgrains,Cereals,Kharif,117,103.31,109.87,110.58,121,118.18,104,120.9,131.27,128.2,NA
Foodgrains,Cereals,Kharif,NA,1430,1511,1522,1644,1654,1496,1669,1822,1892,1864
Foodgrains,Cereals,Rabi,NA,47.82,48.88,51.04,50.49,51.39,51.83,54.25,52.67,53.1,56.8
Foodgrains,Cereals,Rabi,96.19,95.05,98.73,106.71,109.77,116.28,114.11,123.6,128.01,127.16,NA
Foodgrains,Cereals,Rabi,NA,1988,2020,2091,2174,2263,2202,2278,2430,2431,2378
Foodgrains,Cereals,,120.8,120.8,120.35,120.54,122.58,122.46,122.71,123.74,123.93,120.54,122.58
Foodgrains,Tur,Kharif,72.7,73.3,72.64,72.33,73.33,72.53,71.97,71.94,71.81,72.33,73.33
Foodgrains,Pulses,Rabi,48.1,47.5,47.71,48.21,49.25,49.93,50.74,51.8,52.13,48.21,49.25
Foodgrains,Gram,,29,29.4,29.08,28.91,29.22,28.54,28.28,28.15,27.67,28.91,29.22
Foodgrains,Pulses,Kharif,22.5,22.9,22.65,22.55,22.96,22.22,21.97,21.86,21.51,22.55,22.96
Foodgrains,Pulses,Rabi,6.5,6.5,6.43,6.36,6.25,6.32,6.31,6.29,6.16,6.36,6.25
Foodgrains,Pulses,,43.9,43.7,42.85,42.63,43.18,43.77,43.77,43.61,43.65,42.63,43.18
Foodgrains,Pulses,Kharif,39.9,39.9,39.12,38.91,39.2,39.51,39.36,39.11,39.22,38.91,39.2
Foodgrains,Rice,Rabi,4,3.8,3.73,3.72,3.98,4.26,4.41,4.5,4.43,3.72,3.98
Foodgrains,Wheat,Rabi,26.4,26.3,26.2,26.53,27.1,27.33,27.75,28.26,28.64,26.53,27.1
Foodgrains,Jowar,Total,9.8,9.7,9.24,8.97,8.67,8.31,8.05,7.79,7.34,8.97,8.67
Foodgrains,Jowar,Kharif,4.7,4.6,4.21,4.06,3.91,3.6,3.43,3.29,3.06,4.06,3.91
Foodgrains,Jowar,Rabi,5.1,5.1,5.03,4.91,4.75,4.71,4.62,4.5,4.28,4.91,4.75
Foodgrains,Bajra,Kharif,9,9.3,9.34,9.33,9.7,9.33,9.26,9.27,9.12,9.33,9.7
Foodgrains,Maize,Total,6.5,6.7,7.12,7.38,7.67,7.84,8.01,8.2,8.38,7.38,7.67
Foodgrains,Maize,Kharif,5.8,6,6.37,6.58,6.8,6.87,6.96,7.06,7.15,6.58,6.8
Foodgrains,Maize,Rabi,0.7,0.7,0.75,0.8,0.87,0.97,1.05,1.14,1.23,0.8,0.87
Foodgrains,Pulses,,21.4,21.5,22.22,22.46,23.09,22.81,22.92,23.73,23.97,22.46,23.09
Foodgrains,Pulses,Kharif,10.2,10.6,10.87,10.86,11.17,10.79,10.65,10.98,11.08,10.86,11.17
Foodgrains,Pulses,Rabi,11.2,10.9,11.35,11.6,11.92,12.02,12.27,12.75,12.9,11.6,11.92
Foodgrains,Tur,Kharif,3.4,3.5,3.46,3.51,3.58,3.55,3.54,3.7,3.79,3.51,3.58
Foodgrains,Gram,Rabi,6.4,6.2,6.6,6.82,7.15,7.31,7.61,8.06,8.22,6.82,7.15
Oilseeds,,Kharif,23.4,23,24.63,25.41,26.45,27.23,26.92,26.79,26.75,25.41,26.45
Oilseeds,Groundnut,Kharif,6.6,6.3,6.31,6.18,6.25,6.29,6.06,5.88,5.81,6.18,6.25
Oilseeds,Rapeseed,Kharif,5.3,5.1,5.93,6.27,6.53,6.7,6.36,6.28,6.1,6.27,6.53
Oilseeds,Soyabean,Rabi,6.3,6.3,6.86,7.25,7.81,8.4,8.83,9.21,9.57,7.25,7.81
Oilseeds,Sunflower,Rabi,1.4,1.4,1.86,2.06,2.12,2.08,1.94,1.66,1.37,2.06,2.12
Other,Cotton,Rabi,8.7,8.3,8.37,8.38,8.72,9.09,9.35,9.87,10.47,8.38,8.72
Other,Jute,,1,1,0.98,0.96,0.94,0.465,0.92,0.91,0.91,0.96,0.94
Other,Onion,Kharif,0.5,0.5,0.52,0.55,0.62,0.62,NA,NA,NA,0.55,0.62
Other,Potato,Rabi,1.3,1.3,1.31,1.37,1.41,1.41,NA,NA,NA,1.37,1.41
Other,Sugarcane,,4.3,4.3,4.15,4.29,4.4,4.5,4.6,4.74,4.71,4.29,4.4
Foodgrains,,Kharif,199.4,201.5,201.56,202.44,213.64,217.9,221.85,229.08,237.42,202.44,213.64
Foodgrains,,Rabi,101.9,104.7,105.9,105.6,112.34,112.57,112.7,114.99,119.06,105.6,112.34
Foodgrains,,,97.5,96.8,95.66,96.84,101.3,105.33,109.15,114.09,118.36,96.84,101.3
Foodgrains,Cereals,Kharif,30.5,31.8,32.92,33.02,35.96,36.45,36.46,38.39,39.95,33.02,35.96
Foodgrains,Production,Rabi,24,25.4,26.4,26.18,28.56,27.83,27.32,28.65,29.96,26.18,28.56
